"card","pools","type","rarity","cost","target","keywords","coverage","confidence","needed_editor_effects","blockers_or_review_points","source_primitives","applied_powers","dynamic_vars","override_methods","note","source_file"
"SharedFate","Necrobinder","Skill","Rare","0","AnyEnemy","Exhaust","Exact","High","GainStrength","supported primitives only","GainStrength","StrengthPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SharedFate.cs"
"Shroud","Necrobinder","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:ShroudPower","supported primitives only","ApplyPower","ShroudPower","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Shroud.cs"
"SicEm","Necrobinder","Attack","Uncommon","1","AnyEnemy","","Almost","Medium","DealDamage; ApplyPower; ApplyPower:SicEmPower","conditional branch","DealDamage;ApplyPower","SicEmPower","DynamicVar;OstyDamageVar;PowerVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SicEm.cs"
"SleightOfFlesh","Necrobinder","Power","Uncommon","2","Self","","Exact","High","ApplyPower; ApplyPower:SleightOfFleshPower","supported primitives only","ApplyPower","SleightOfFleshPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SleightOfFlesh.cs"
"Snap","Necrobinder","Attack","Common","1","AnyEnemy","Retain","Almost","High","OstyAction; GrantKeywordToPile","negative keyword filter","DealDamage","","OstyDamageVar","OnPlay;OnUpgrade","Osty attacks, then grant Retain to a selected hand card; missing exact filter for not already Retain.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Snap.cs"
"SoulStorm","Necrobinder","Attack","Rare","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SoulStorm.cs"
"Sow","Necrobinder","Attack","Common","1","AllEnemies","Retain","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Sow.cs"
"SpiritOfAsh","Necrobinder","Power","Rare","1","Self","Ethereal","Exact","High","ApplyPower; ApplyPower:SpiritOfAshPower","supported primitives only","ApplyPower","SpiritOfAshPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SpiritOfAsh.cs"
"Spur","Necrobinder","Skill","Uncommon","1","Self","Retain","Exact","High","Heal; Summon","supported primitives only","Heal;Summon","","DynamicVar;HealVar;SummonVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Spur.cs"
"Squeeze","Necrobinder","Attack","Rare","3","AnyEnemy","","Almost","Medium","DealDamage","conditional branch","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Squeeze.cs"
"StrikeNecrobinder","Necrobinder","Attack","Basic","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\StrikeNecrobinder.cs"
"TheScythe","Necrobinder","Attack","Rare","2","AnyEnemy","Exhaust","Exact","High","DealDamage; PersistentSelfScaling","","DealDamage","","DamageVar;DynamicVar;IntVar","AfterDowngraded;OnPlay;OnUpgrade","Deal damage, then persistently raise this card and deck version BaseDamage by 3/4.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\TheScythe.cs"
"TimesUp","Necrobinder","Attack","Rare","2","AnyEnemy","Exhaust;Retain","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\TimesUp.cs"
"Transfigure","Necrobinder","Skill","Rare","1","Self","Exhaust","Exact","High","TargetCardMutation; GrantReplay","","","","EnergyVar","OnPlay;OnUpgrade","Use one target-card mutation row to choose the hand card, then set later mutation/replay rows to Selected Row targeting the first row.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Transfigure.cs"
"Undeath","Necrobinder","Skill","Rare","0","Self","","Exact","High","GainBlock; AddSpecificCardToHand","supported primitives only","GainBlock;AddSpecificCardToHand","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Undeath.cs"
"Unleash","Necrobinder","Attack","Basic","1","AnyEnemy","","Almost","Medium","DealDamage","conditional branch","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Unleash.cs"
"Veilpiercer","Necrobinder","Attack","Uncommon","1","AnyEnemy","Ethereal","Exact","High","DealDamage; ApplyPower; ApplyPower:VeilpiercerPower","supported primitives only","DealDamage;ApplyPower","VeilpiercerPower","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Veilpiercer.cs"
"Wisp","Necrobinder","Skill","Common","0","Self","Exhaust;Retain","Exact","High","GainEnergy","supported primitives only","GainEnergy","","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Wisp.cs"
"Alchemize","Colorless","Skill","Rare","1","Self","Exhaust","Almost","Medium","CreateRandomPotion","randomness","CreateRandomPotion","","","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Alchemize.cs"
"Anointed","Colorless","Skill","Rare","1","Self","Exhaust;Retain","Almost","Medium","MoveCardsBetweenPiles","custom card filter; pile scan","MoveCardsBetweenPiles","","","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Anointed.cs"
"Automation","Colorless","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:AutomationPower","supported primitives only","ApplyPower","AutomationPower","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Automation.cs"
"BeaconOfHope","Colorless","Power","Rare","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:BeaconOfHopePower","supported primitives only","ApplyPower","BeaconOfHopePower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BeaconOfHope.cs"
"BeatDown","Colorless","Skill","Rare","3","RandomEnemy","Unplayable","Almost","Medium","ShuffleDrawPile","conditional branch; loop/repeat; randomness; custom card filter; pile scan","ShuffleDrawPile","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BeatDown.cs"
"BelieveInYou","Colorless","Skill","Uncommon","0","AnyAlly","","Exact","High","GainEnergy","supported primitives only","GainEnergy","","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BelieveInYou.cs"
"Bolas","Colorless","Attack","Rare","0","AnyEnemy","","Almost","Medium","DealDamage; MoveCardsBetweenPiles","combat history count; conditional branch","DealDamage;MoveCardsBetweenPiles","","DamageVar","BeforeHandDraw;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bolas.cs"
"Calamity","Colorless","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:CalamityPower","supported primitives only","ApplyPower","CalamityPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Calamity.cs"
"Catastrophe","Colorless","Skill","Uncommon","2","Self","Unplayable","Almost","Medium","ShuffleDrawPile","conditional branch; loop/repeat; randomness; custom card filter; pile scan","ShuffleDrawPile","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Catastrophe.cs"
"Coordinate","Colorless","Skill","Uncommon","1","AnyAlly","","Exact","High","ApplyPower; ApplyPower:CoordinatePower","supported primitives only","ApplyPower","CoordinatePower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Coordinate.cs"
"DarkShackles","Colorless","Skill","Uncommon","0","AnyEnemy","Exhaust","Exact","High","ApplyPower; ApplyPower:DarkShacklesPower","supported primitives only","ApplyPower","DarkShacklesPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DarkShackles.cs"
"Discovery","Colorless","Skill","Uncommon","1","Self","Exhaust","Exact","High","ChooseOneOfThreeCardsToHand; CreatedCardsCostLess","","AddSpecificCardToHand","","","OnPlay;OnUpgrade","Choose 1 of 3 distinct current-color cards, skip allowed, then make the chosen card free this turn. Upgrade removes Exhaust.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Discovery.cs"
"DramaticEntrance","Colorless","Attack","Uncommon","0","AllEnemies","Exhaust;Innate","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DramaticEntrance.cs"
"Entropy","Colorless","Power","Rare","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:EntropyPower","supported primitives only","ApplyPower","EntropyPower","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Entropy.cs"
"Equilibrium","Colorless","Skill","Uncommon","2","Self","Retain","Exact","High","GainBlock; ApplyPower; ApplyPower:RetainHandPower","supported primitives only","GainBlock;ApplyPower","RetainHandPower","BlockVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Equilibrium.cs"
"EternalArmor","Colorless","Power","Rare","3","Self","","Exact","High","GainPlating","supported primitives only","GainPlating","PlatingPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\EternalArmor.cs"
"Fasten","Colorless","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:FastenPower","supported primitives only","ApplyPower","FastenPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Fasten.cs"
"Finesse","Colorless","Skill","Uncommon","0","Self","","Exact","High","GainBlock; DrawCards","supported primitives only","GainBlock;DrawCards","","BlockVar;CardsVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Finesse.cs"
"Fisticuffs","Colorless","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage; GainBlock","supported primitives only","DealDamage;GainBlock","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Fisticuffs.cs"
"FlashOfSteel","Colorless","Attack","Uncommon","0","AnyEnemy","","Almost","Medium","DealDamage; DrawCards","conditional branch","DealDamage;DrawCards","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FlashOfSteel.cs"
"GangUp","Colorless","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\GangUp.cs"
"GoldAxe","Colorless","Attack","Rare","1","AnyEnemy","Retain","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\GoldAxe.cs"
"HandOfGreed","Colorless","Attack","Rare","2","AnyEnemy","","Almost","Medium","DealDamage; GainGold","conditional branch","DealDamage;GainGold","","DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HandOfGreed.cs"
"HiddenGem","Colorless","Skill","Rare","1","Self","Unplayable","Almost","Medium","","conditional branch; randomness; custom card filter; pile scan","","","IntVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HiddenGem.cs"
"HuddleUp","Colorless","Skill","Uncommon","1","AllAllies","Exhaust","Almost","Medium","DrawCards","loop/repeat","DrawCards","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HuddleUp.cs"
"Impatience","Colorless","Skill","Uncommon","0","Self","","Almost","Medium","DrawCards","conditional branch; pile scan","DrawCards","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Impatience.cs"
"Intercept","Colorless","Skill","Uncommon","1","AnyAlly","","Exact","High","GainBlock; ApplyPower; ApplyPower:CoveredPower","supported primitives only","GainBlock;ApplyPower","CoveredPower","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Intercept.cs"
"JackOfAllTrades","Colorless","Skill","Uncommon","0","Self","Exhaust","Almost","High","AddRandomCardToHand","distinct random; exclude self","AddSpecificCardToHand","","CardsVar","OnPlay;OnUpgrade","Buildable as add 1/2 random Colorless cards, but current AddRandomCardToHand does not enforce distinct cards and cannot exclude Jack of All Trades itself.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\JackOfAllTrades.cs"
"Jackpot","Colorless","Attack","Rare","3","AnyEnemy","","Exact","High","DealDamage; AddRandomCardToHand; CreatedCardsUpgraded","","DealDamage;AddSpecificCardToHand;UpgradeCardsInPile","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Damage plus 3 random current-color 0-cost non-X cards. Existing cost filter Exactly 0 excludes X/star-cost cards; upgrade can use CreatedCardsUpgraded.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Jackpot.cs"
"Knockdown","Colorless","Attack","Rare","3","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:KnockdownPower","supported primitives only","DealDamage;ApplyPower","KnockdownPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Knockdown.cs"
"Lift","Colorless","Skill","Uncommon","1","AnyAlly","","Exact","High","GainBlock","supported primitives only","GainBlock","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Lift.cs"
"MasterOfStrategy","Colorless","Skill","Rare","0","Self","Exhaust","Exact","High","DrawCards","supported primitives only","DrawCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MasterOfStrategy.cs"
"Mayhem","Colorless","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:MayhemPower","supported primitives only","ApplyPower","MayhemPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Mayhem.cs"
"Mimic","Colorless","Skill","Rare","1","AnyAlly","Exhaust","Almost","Medium","GainBlock","calculated amount","GainBlock","","CalculatedBlockVar;CalculationBaseVar;CalculationExtraVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Mimic.cs"
"MindBlast","Colorless","Attack","Uncommon","1","AnyEnemy","Innate","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MindBlast.cs"
"Nostalgia","Colorless","Power","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:NostalgiaPower","supported primitives only","ApplyPower","NostalgiaPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Nostalgia.cs"
"Omnislice","Colorless","Attack","Uncommon","0","AnyEnemy","","Almost","Medium","DealDamage; LoseHp","conditional branch","DealDamage;LoseHp","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Omnislice.cs"
"Panache","Colorless","Power","Uncommon","0","Self","","Exact","High","ApplyPower; ApplyPower:PanachePower","supported primitives only","ApplyPower","PanachePower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Panache.cs"
"PanicButton","Colorless","Skill","Uncommon","0","Self","Exhaust","Exact","High","GainBlock; ApplyPower; ApplyPower:NoBlockPower","supported primitives only","GainBlock;ApplyPower","NoBlockPower","BlockVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PanicButton.cs"
"PrepTime","Colorless","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:PrepTimePower","supported primitives only","ApplyPower","PrepTimePower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PrepTime.cs"
"Production","Colorless","Skill","Uncommon","0","Self","Exhaust","Exact","High","GainEnergy","supported primitives only","GainEnergy","","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Production.cs"
"Prolong","Colorless","Skill","Uncommon","0","Self","Exhaust","Exact","High","ApplyPower; ApplyPower:BlockNextTurnPower","supported primitives only","ApplyPower","BlockNextTurnPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Prolong.cs"
"Prowess","Colorless","Power","Uncommon","1","Self","","Exact","High","GainDexterity; GainStrength","supported primitives only","GainDexterity;GainStrength","DexterityPower;StrengthPower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Prowess.cs"
"Purity","Colorless","Skill","Uncommon","0","Self","Exhaust;Retain","Exact","High","ExhaustCards","supported selector/pile operation","ExhaustCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Purity.cs"
"Rally","Colorless","Skill","Rare","2","AllAllies","","Almost","Medium","GainBlock","loop/repeat","GainBlock","","BlockVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Rally.cs"
"Rend","Colorless","Attack","Rare","2","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Rend.cs"
"Restlessness","Colorless","Skill","Uncommon","0","Self","Retain","Almost","Medium","DrawCards; GainEnergy","conditional branch; loop/repeat","DrawCards;GainEnergy","","CardsVar;DynamicVar;EnergyVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Restlessness.cs"
"RollingBoulder","Colorless","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:RollingBoulderPower","supported primitives only","ApplyPower","RollingBoulderPower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\RollingBoulder.cs"
